Stage_Name,Full_Name,Korean_Name,Group,Country,File_Name
St. Van,Lee Geumhyuk,이금혁,VAV,South Korea,male_idolsV2/St.Van_LeeGeumhyuk.webp
Baron,Choi Chunghyeop,최충협,,South Korea,male_idolsV2/Baron_ChoiChunghyeop.png
Ace,Jang Wooyoung,장우영,VAV,South Korea,male_idolsV2/Ace_JangWooyoung.png
Ayno,Noh Yoonho,노윤호,VAV,South Korea,male_idolsV2/Ayno_NohYoonho.webp
Jacob,Zhang Peng,장펑,VAV,China,male_idolsV2/Jacob_ZhangPeng.png
Lou,Kim Hosung,김호성,VAV,South Korea,male_idolsV2/Lou_KimHosung.png
Ziu,Park Heejun,박희준,VAV,South Korea,male_idolsV2/Ziu_ParkHeejun.png
Hongjoong,Kim Hongjoong,김홍중,ATEEZ,South Korea,male_idolsV2/Hongjoong_KimHongjoong.jpeg
Seonghwa,Park Seonghwa,박성화,ATEEZ,South Korea,male_idolsV2/Seonghwa_ParkSeonghwa.jpeg
Yunho,Jeong Yunho,정윤호,ATEEZ,South Korea,male_idolsV2/Yunho_JeongYunho.jpeg
Yeosang,Kang Yeosang,강여상,ATEEZ,South Korea,male_idolsV2/Yeosang_KangYeosang.jpeg
San,Choi San,최산,ATEEZ,South Korea,male_idolsV2/San_ChoiSan.jpeg
Mingi,Son Mingi,송민기,ATEEZ,South Korea,male_idolsV2/Mingi_SonMingi.jpeg
Wooyoung,Jung Wooyoung,정우영,ATEEZ,South Korea,male_idolsV2/Wooyoung_JungWooyoung.jpeg
Jongho,Choi Jongho,최종호,ATEEZ,South Korea,male_idolsV2/Jongho_ChoiJongho.jpeg
Narachan,Jung Hyunwoo,정현우,MONT,South Korea,male_idolsV2/Narachan_JungHyunwoo.png
Bitsaeon,Kim Sangyeon,김상연,MONT,South Korea,male_idolsV2/Bitsaeon_KimSangyeon.jpeg
Roda,Shin Joongmin,신중민,MONT,South Korea,male_idolsV2/Roda_ShinJoongmin.jpeg
Soobin,Choi Soobin,최수빈,TXT,South Korea,male_idolsV2/Soobin_ChoiSoobin.jpeg
Yeonjun,Choi Yeonjun,최연준,TXT,South Korea,male_idolsV2/Yeonjun_ChoiYeonjun.webp
Beomgyu,Choi Beomgyu,최범규,TXT,South Korea,male_idolsV2/Beomgyu_ChoiBeomgyu.jpeg
Taehyun,Kang Taehyun,강태현,TXT,South Korea,male_idolsV2/Taehyun_KangTaehyun.jpeg
Hueningkai,Kai Kamal Huening,카이 카말 휴닝,TXT,USA,male_idolsV2/Hueningkai_KaiKamalHuening.jpeg
Yongha,Yoo Yongha,유용하,WEi,South Korea,male_idolsV2/Yongha_YooYongha.webp
Louis,Kim Taewoo,김태우,BLANK2Y,South Korea,male_idolsV2/Louis_KimTaewoo.jpeg
Seunghwan,Lee Seunghwan,이승환,1the9,South Korea,male_idolsV2/Seunghwan_LeeSeunghwan.png
Yechan,Shin Yechan,신예찬,OMEGA X,South Korea,male_idolsV2/Yechan_ShinYechan.png
Junseo,Kim Junseo,김준서,WEi,South Korea,male_idolsV2/Junseo_KimJunseo.webp
DY,Jeon Doyum,전도염,JUST B,South Korea,male_idolsV2/DY_JeonDoyum.jpeg
Jinsung,Jung Jinsung,정진성,1the9,South Korea,male_idolsV2/Jinsung_JungJinsung.png
Taekhyeon,Jung Taekhyeon,정택현,1the9,South Korea,male_idolsV2/Taekhyeon_JungTaekhyeon.webp
